frame_id,timestamp,tracking_state,error_px,latency_ms,atmosphere,gaussian_std,sp_density,platform_offset,jitter_offset
57,1.933333333333336,LOCKED,14.694837085360453,12.521982192993164,Fog,12.0,0.04,"(5.2273648319208235, -6.055960445214069)","(-3.8787266047292195, 4.279371409108506)"
58,1.9666666666666694,LOCKED,19.02563058522097,11.537790298461914,Fog,12.0,0.04,"(4.969182242226462, -6.269547658606736)","(3.102234358022521, 2.633555471411242)"
59,2.0000000000000027,LOCKED,13.500252899917061,12.891292572021484,Fog,12.0,0.04,"(4.702282018339763, -6.472135954999596)","(-0.8148835226987554, 1.5277060884293183)"
60,2.033333333333336,LOCKED,14.840914158590794,12.967824935913086,Fog,12.0,0.04,"(4.427132393946732, -6.66336992568081)","(1.0091756269528265, 1.7981592186578403)"
61,2.066666666666669,LOCKED,7.43391616186863,16.803979873657227,Fog,12.0,0.04,"(4.14421607498502, -6.842914081284066)","(-4.986668146321331, -1.0103111739526849)"
62,2.1000000000000023,LOCKED,9.567858963692318,13.977289199829102,Fog,12.0,0.04,"(3.854029392813703, -7.010453440350919)","(-5.50062991365729, -0.07211016906577328)"
63,2.1333333333333355,LOCKED,11.20421153892358,13.90981674194336,Fog,12.0,0.04,"(3.5570814334793996, -7.165694081915313)","(-2.0416654520065762, -4.265709733607437)"
64,2.1666666666666687,LOCKED,12.189234380123592,11.55233383178711,Fog,12.0,0.04,"(3.253893144606384, -7.308363661140815)","(-4.75916438732938, 1.051734866132545)"
65,2.200000000000002,LOCKED,14.165789540442885,14.727354049682617,Fog,12.0,0.04,"(2.944996421477405, -7.438211887106019)","(-3.9528843775573668, 5.101441420521567)"
66,2.233333333333335,LOCKED,15.516738846325584,12.581110000610352,Fog,12.0,0.04,"(2.6309331739086503, -7.555010961899854)","(0.9727336764047401, -1.8375623455819552)"
67,2.2666666666666684,LOCKED,15.342923458034958,13.19265365600586,Fog,12.0,0.04,"(2.3122543755557565, -7.658555980256543)","(1.090985897777001, -5.72635354764363)"
68,2.3000000000000016,LOCKED,18.729964186170598,13.083457946777344,Fog,12.0,0.04,"(1.9895190973188248, -7.748665289029052)","(5.502710558897345, -0.21235875668519721)"
69,2.333333333333335,LOCKED,13.297326076978813,11.291742324829102,Fog,12.0,0.04,"(1.6632935265420605, -7.825180805870448)","(3.392822727003434, -5.007240000930738)"
70,2.366666666666668,LOCKED,9.959469428293284,15.041589736938477,Fog,12.0,0.04,"(1.334149973728807, -7.887968296564042)","(-0.1601000299420754, -0.11151606774574851)"
71,2.4000000000000012,LOCKED,16.431074006911135,17.019987106323242,Fog,12.0,0.04,"(1.0026658685144223, -7.936917610515824)","(5.253917459699794, 0.860736628512905)"
72,2.4333333333333345,LOCKED,7.647035869540033,13.591766357421875,Fog,12.0,0.04,"(0.6694227466585152, -7.971942873996036)","(-0.31812718731655387, -2.796292042897277)"
73,2.4666666666666677,LOCKED,8.432006780924812,17.59505271911621,Fog,12.0,0.04,"(0.3350052298335878, -7.992982640790867)","(-2.0211720318893738, 0.2480688296584539)"
74,2.500000000000001,LOCKED,9.096126688980824,14.53256607055664,Fog,12.0,0.04,"(-9.67842359708362e-15, -8.0)","(-0.7330624763394393, -5.740655041436035)"
